id,SimplifiedName,TraditionalName,PinyinName,CategoryName,EnglishName_1,EnglishName_2,EnglishName_3,EnglishInterpretation,sort_id,CategoryCode
36,肺痹,肺痹,fèi bì,中医内科学,0,lung bì,lung impediment,0,46,3.931.017
37,肺咳,肺咳,fèi ké,中医内科学,lung cough,lung cough,lung cough,cough due to ascending counterflow of lung qi,46,3.941.017
38,肺痨,肺癆,fèi láo,中医内科学,lung consumption,lung consumption,pulmonary tuberculosis,"a consumptive disease due to overstrain, characterized by cough, hemoptysis, tidal fever, night sweating and emaciation",46,3.951.017
39,肺痿,肺痿,fèi wěi,中医内科学,lung atrophy,"lung wei (atrophy, 痿)",lung atrophy,"a disease of the lung due to chronic cough, marked by atrophy of the lung with shortness of breath and expectoration",46,3.961.017
40,肺痈,肺癰,fèi yōng,中医内科学,lung abscess,lung abscess,lung abscess,"abscess occurring in the lung due to heat toxin, marked by sudden onset of fever, cough, chest pain, expectoration of foul-smelling bloody purulent sputum",46,3.971.017
41,肺胀,肺脹,fèi zhàng,中医内科学,lung distention,lung distention,lung distension,"a disease of the lung characterized by persistent distension of the lung, manifested by a sensation of",46,3.981.017
42,风厥,風厥,fēng jué,中医内科学,wind syncope,wind syncope (syncope due to endogenous liver wind),wind reversal,syncope due to transformation of liver qi into wind,46,3.991.017
43,风水,風水,fēng shuǐ,中医内科学,wind edema,wind edema,wind edema,"a type of edema especially of the face and head, ascribed to attack on the lung by pathogenic wind, manifested by sudden onset of edema accompanied by fever with aversion to wind, aching joints, and oliguria",46,4.001.017
44,风温,風溫,fēng wēn,中医内科学,wind-warmth,wind-warmth,wind-warmth,a warm disease attributable to contraction of wind-heat pathogen,46,4.011.017
45,风温痉,風溫痙,fēng wēn jìng,中医内科学,0,wind-warmth convulsion,wind-warm convulsion,0,46,4.021.017
46,肤胀,膚脹,fū zhàng,中医内科学,cutaneous distention,anasarca (general accumulation of serous fluid in various tissues and body cavities),anasarca,"a type of distension disease due to contraction of cold pathogen, arising when the pathogen stays in the skin together with the defense qi",46,4.031.017
47,伏气温病,伏氣溫病,fú qì wēn bìng,中医内科学,0,latent-qi warm disease,latent-qi warm disease,0,46,4.041.017
48,伏暑,伏暑,fú shǔ,中医内科学,latent summerheat,latent summerheat,latent summerheat,"an acute febrile disease caused by latent summerheat or summerheat-dampness pathogen, occurring in autumn or winter",46,4.051.017
49,伏暑晚发,伏暑晚發,fú shǔ wǎn fā,中医内科学,0,delayed manifestation of latent summerheat,delayed occurrence of summerheat,0,46,4.061.017
50,伏饮,伏飲,fú yǐn,中医内科学,0,recurrent rheum,recurrent fluid retention,0,46,4.071.017
51,肝癌,肝癌,gān ái,中医内科学,0,liver cancer,liver cancer,0,46,4.081.017
52,肝痹,肝痹,gān bì,中医内科学,0,liver bì,liver impediment,0,46,4.091.017
53,肝咳,肝咳,gān hāi,中医内科学,0,liver cough,liver cough,0,46,4.101.017
54,肝郁泄泻,肝鬱泄瀉,gān yù xiè xiè,中医内科学,0,diarrhea due to liver constraint,diarrhea due to liver depression,0,46,4.111.017
55,肝着,肝著,gān zhe,中医内科学,liver fixity,liver fixed bì,liver stagnancy,a diseased condition arising when qi and blood of the liver meridian become depressed and stagnant,46,4.121.017
56,感冒,感冒,gǎn mào,中医内科学,common cold,common cold,common cold,"affliction of the lung-superficies by pathogenic wind, mainly manifested as fever, chills, headache, general aching, congested nose, sneezing, itching throat and cough",46,4.131.017
57,感冒夹惊,感冒夾驚,gǎn mào jiā jīng,中医内科学,0,common cold with frightening or convulsion,common cold with frightening or convulsion,0,46,4.141.017
58,感冒夹痰,感冒夾痰,gǎn mào jiā tán,中医内科学,0,common cold with phlegm,common cold with phlegm,0,46,4.151.017
59,感冒夹滞,感冒夾滯,gǎn mào jiā zhì,中医内科学,0,common cold with food retention,common cold with food retention,0,46,4.161.017
60,干霍乱,幹霍亂,gàn huò luàn,中医内科学,dry cholera,dry cholera,dry cholera,an acute illness characterized by sudden onset of abdominal colic and epigastric oppression accompanied by desire but failure to vomit and desire but failure to defecate,46,4.171.017
61,膏淋,膏淋,gāo lín,中医内科学,unctuous strangury,chylous strangury (chyle: a milky fluid consisting of lymph and emulsified fat extracted from chyme by the lacteals during digestion and passed to the bloodstream through the thoracic duct),chylous stranguria,"painful discharge of turbid, milky urine like rice-water",46,4.181.017
62,谷疸,穀疸,gǔ dǎn,中医内科学,dietary jaundice,dietary jaundice,dietary jaundice,"a type of jaundice characterized by dizziness immediately after meal, and painful fullness in the stomach due to indigestion",46,4.191.017
63,骨痹,骨痹,gǔ bì,中医内科学,bone impediment,bone bì,bone impediment,a type of impediment disease mainly involving the bones and joints,46,4.201.017
64,骨癫疾,骨癲疾,gǔ diān jí,中医内科学,0,bony epilepsy,bony epilepsy,0,46,4.211.017
65,蛊毒,蠱毒,gǔ dú,中医内科学,parasitic toxin,parasitic toxin,parasitic toxin,"a pathogenic factor that may cause diseases marked by abdominal lumps, tympanites and ascites, also known as worm toxin",46,4.221.017
66,鼓胀,鼓脹,gǔ zhàng,中医内科学,tympanites,abdominal distention; tympanites,tympanites,a disease characterized by the severely distended abdomen like a drum accompanied by a somber yellow discoloration of the skin and prominent veins on the abdominal wall,46,4.231.017
67,关格,關格,guān gé,中医内科学,block and repulsion (disease),anuria and vomiting,anuria and vomiting,a diseased state characterized by urinary stoppage and vomiting,46,4.241.017
68,寒霍乱,寒霍亂,hán huò luàn,中医内科学,0,cold cholera,cold cholera,0,46,4.251.017
69,寒厥,寒厥,hán jué,中医内科学,cold syncope,① cold syncope ② reversal counterflow cold of the four limbs (due to yang debilitation and resulting yin exuberance),cold reversal,syncope due to yang debilitation and excessive cold,46,4.261.017
70,寒疟,寒瘧,hán nüè,中医内科学,cold malaria,cold malaria,cold malaria,"malaria with higher chills and lower fever or even no fever, no sweating, and absence of thirst",46,4.271.017
71,寒热夹杂痞,寒熱夾雜痞,hán rè jiā zá pǐ,中医内科学,0,pi syndrome caused by cold-heat complex,fullness caused by cold-heat complex,0,46,4.281.017
72,寒疝,寒疝,hán shàn,中医内科学,cold abdominal colic,① cold shàn ② testicular hardness and pain due to cold,①    cold abdominal colic ②    testalgia due to cold,"acute abdominal pain due to cold, also called cold induced colic",46,4.291.017
73,寒湿痢,寒濕痢,hán shī lì,中医内科学,0,cold-damp dysentery,cold-dampness dysentery,0,46,4.301.017
74,寒湿泄泻,寒濕泄瀉,hán shī xiè xiè,中医内科学,0,cold-damp diarrhea,cold-dampness diarrhea,0,46,4.311.017
75,寒湿腰痛,寒濕腰痛,hán shī yāo tòng,中医内科学,0,cold-damp lumbar pain,cold-dampness lumbago,0,46,4.321.017
76,寒哮,寒哮,hán xiāo,中医内科学,0,cold wheezing,cold wheezing,0,46,4.331.017
77,寒泄,寒泄,hán xiè,中医内科学,cold diarrhea,cold diarrhea,cold diarrhea,diarrhea caused by attack of cold on the gastrointestinal tract,46,4.341.017
78,寒瘴,寒瘴,hán zhàng,中医内科学,0,cold miasmic malaria,cold miasmic malaria,0,46,4.351.017
79,汗证,汗證,hàn zhèng,中医内科学,0,sweating syndrome,sweating syndrome,0,46,4.361.017
80,行痹,行痹,xíng bì,中医内科学,0,migratory bì (wind bì),migratory impediment; wind arthralgia,0,46,4.371.017
81,黑疸,黑疸,hēi dǎn,中医内科学,0,black jaundice,black jaundice,0,46,4.381.017
82,狐惑病,狐惑病,hú huò bìng,中医内科学,0,"fox-creeper disease (hú huò bìng, 狐惑病; equivalent to Behcet's syndrome in Western medicine)",throat-anus-genital syndrome,0,46,4.391.017
83,滑精,滑精,huá jīng,中医内科学,spermatorrhea,spontaneous seminal emission,spontaneous seminal emission,involuntary and frequent discharge of semen without copulation,46,4.401.017
84,滑泄,滑泄,huá xiè,中医内科学,efflux diarrhea,efflux diarrhea,efflux diarrhea,diarrhea with fecal incontinence,46,4.411.017
85,黄汗,黃汗,huáng hàn,中医内科学,yellow sweat,yellow sweat,yellow sweat,"a disease mainly caused by the interior accumulation of dampness-heat, and characterized by edema, fever and yellow-colored sweat",46,4.421.017
86,黄胖,黃胖,huáng pàng,中医内科学,0,"yellowish puffiness (huáng pàng, 黄胖)",yellowish puffiness,0,46,4.431.017
87,黄肿,黃腫,huáng zhǒng,中医内科学,0,yellowish puffiness,yellowish puffiness,0,46,4.441.017
88,昏倒,昏倒,hūn dào,中医内科学,0,fainting,0,0,46,4.451.017
89,霍乱,霍亂,huò luàn,中医内科学,cholera,cholera,cholera,"a disease characterized by sudden onset of simultaneous vomiting and diarrhea with the vomitus and stool like rice water, referring to acute gastroenteritis, food poisoning and cholera",46,4.461.017
90,肌痹,肌痹,jī bì,中医内科学,flesh impediment,muscle bì,muscle impediment,a type of impediment disease mainly involving the flesh,46,4.471.017
91,积,積,jī,中医内科学,0,"accumulations (fixed abdominal masses of defnite shape; jī, 积)",accumulation,0,46,4.481.017
92,积聚,積聚,jī jù,中医内科学,0,"accumulations and gatherings (abdominal masses; jī jù, 积聚)",abdominal mass; accumulation-gathering,0,46,4.491.017
93,急风,急風,jí fēng,中医内科学,0,acute wind invasion,acute wind stroke,0,46,4.501.017
94,急黄,急黃,jí huáng,中医内科学,acute jaundice,acute jaundice,acute jaundice,"a critical case of jaundice with sudden onset, rapid deterioration and poor prognosis, accompanied by high fever, dire thirst, impairment of consciousness and delirium, indicating inward invasion of dampness-heat with toxin into the blood and nutrient aspects",46,4.511.017
95,夹食伤寒,夾食傷寒,jiā shí shāng hán,中医内科学,0,common cold with food retention,common cold with food retention,0,46,4.521.017
96,间日疟,間日瘧,jiàn rì nüè,中医内科学,0,tertian malaria,tertian malaria,0,46,4.531.017
97,煎厥,煎厥,jiān jué,中医内科学,0,scorching syncope,scorching syncope,0,46,4.541.017
98,健忘,健忘,jiàn wàng,中医内科学,forgetfulness,poor memory; forgetfulness,amnesia,"poor memory; tendency to forget matters, the same as amnesia",46,4.551.017
99,结胸,結胸,jié xiōng,中医内科学,chest bind,thoracic accumulation,thoracic accumulation,"a diseased state attributable to accumulation of pathogens (such as heat or cold in combination with retained fluid or phlegm or stagnant food) in the chest and abdomen, often manifested by local rigidity, fullness and tenderness, also the same as chest constriction",46,4.561.017
100,结阳,結陽,jié yáng,中医内科学,binding in yang,stagnancy of yang,stagnancy of yang,"sluggish flow of yang qi in the limbs, leading to retention of water and edema",46,4.571.017
101,结阴,結陰,jié yīn,中医内科学,binding in yin,binding in yin,stagnation of yin,pathogenic qi binding in the yin meridians/channels.,46,4.581.017
102,筋痹,筋痹,jīn bì,中医内科学,impediment of the sinew,sinew bì,sinew impediment,an impediment disease caused by wind-cold-dampness chiefly involving the sinews,46,4.591.017
103,筋癫疾,筋癲疾,jīn diān jí,中医内科学,0,sinew epilepsy,sinew epilepsy,0,46,4.601.017
104,筋痿,筋痿,jīn wěi,中医内科学,0,sinew wei,sinew flaccidity,0,46,4.611.017
105,噤口痢,噤口痢,jìn kǒu lì,中医内科学,food-denying dysentery,dysentery with inability to eat,food-denial dysentery,severe case of dysentery with utter loss of appetite and vomiting upon eating and drinking,46,4.621.017
106,痉病,痙病,jìng bìng,中医内科学,convulsive disease,convulsive disease,convulsive disease,"any diseased state marked by neck rigidity, convulsion of the limbs, and even clenched jaw and opisthotonos",46,4.631.017
107,久泄,久泄,jiǔ xiè,中医内科学,chronic diarrhea,chronic diarrhea,chronic diarrhea,diarrhea lasting for a long time or continually recurring,46,4.641.017
108,久泻,久瀉,jiǔ xiè,中医内科学,0,chronic diarrhea,chronic diarrhea,0,46,4.651.017
109,酒疸,酒疸,jiǔ dǎn,中医内科学,alcoholic jaundice,alcoholic jaundice,alcoholic jaundice,a type of jaundice due to excessive consumption of liquor,46,4.661.017
110,聚,聚,jù,中医内科学,0,"gatherings (movable abdominal masses of indefinite shape; jù, 聚)",gathering,0,46,4.671.017
111,厥阴热利,厥陰熱利,jué yīn rè lì,中医内科学,0,dysentery,dysentery,0,46,4.681.017
112,厥证;厥,厥證;厥,jué zhèng ; jué,中医内科学,0,①fainting (loss of consciousness); syncope ②reversal cold of the limbs,0,0,46,4.691.017
113,口僻,口僻,kǒu pì,中医内科学,deviated mouth,deviation of the mouth,deviation of mouth,a diseased state characterized by skewing of the mouth to one side of the face with drooling from the corner of the mouth and inability to close the eye,46,4.701.017
114,狂病,狂病,kuáng bìng,中医内科学,manic psychosis,mania,mania,"a psychotic disorder characterized by mental and physical hyperactivity, disorganization of behavior, and elevation of mood",46,4.711.017
115,劳风,勞風,láo fēng,中医内科学,0,common cold due to overstrain,common cold due to overstrain,0,46,4.721.017
116,劳淋,勞淋,láo lín,中医内科学,fatigue strangury,strangury due to overstrain,overstrain stranguria,"a type of strangury characterized by recurrent dripping of urine ascribed to taxing fatigue, usually seen in chronic cases",46,4.731.017
117,劳疟,勞瘧,láo nüè,中医内科学,taxation malaria,①consumptive malaria  ② chronic malaria ③  malaria with splenomegaly,consumptive malaria; ① chronic malaria ② malaria with splenomegaly,"chronic malaria with mild chills and fever, and with attacks being brought on by fatigue",46,4.741.017
118,痨瘵,癆瘵,láo zhài,中医内科学,0,consumption,pulmonary tuberculosis,0,46,4.751.017
119,雷头风,雷頭風,léi tóu fēng,中医内科学,thunder head wind,thunder head wind (a type of headache),thunder-headache,a diseased state characterized by pain with loud noise in the head,46,4.761.017
120,冷秘,冷秘,lěng mì,中医内科学,0,cold constipation,cold constipation,0,46,4.771.017
121,冷哮,冷哮,lěng xiāo,中医内科学,0,cold wheezing,cold wheezing,0,46,4.781.017
122,冷瘴,冷瘴,lěng zhàng,中医内科学,0,cold miasmic malaria,cold miasmic malaria,0,46,4.791.017
123,里水,裏水,lǐ shuǐ,中医内科学,0,internal edema,internal edema,0,46,4.801.017
124,历节,曆節,lì jié,中医内科学,0,pain of multiple joints,multiple arthralgia,0,46,4.811.017
125,沥血腰痛,瀝血腰痛,lì xuè yāo tòng,中医内科学,0,blood stasis lumbar pain,blood-stasis lumbago,0,46,4.821.017
126,痢疾,痢疾,lì jí,中医内科学,dysentery,dysentery,dysentery,"a disease characterized by abdominal pain, tenesmus, diarrhea with stool containing mucus and blood",46,4.831.017
127,凉燥,涼燥,liáng zào,中医内科学,cool dryness,cool dryness,cool dryness,the pathogenic factor that causes cool dryness pattern/syndrome,46,4.841.017
128,淋证,淋證,lín zhèng,中医内科学,0,strangury,stranguria,0,46,4.851.017
129,六郁,六鬱,liù yù,中医内科学,six depressions,six constraints,six stagnations; six depressions,"a collective term for stagnation of qi, blood, damp, fire, phlegm and food, the same as six stagnations",46,4.861.017
130,癃闭,癃閉,lóng bì,中医内科学,dribbling urinary block (disease),dribbling urinary block <TCM>; urinary retention <Western medicine>,ischuria; retention of urine,dribbling urination or complete blockage of urine flow,46,4.871.017
131,漏泄,漏泄,lòu xiè,中医内科学,0,dripping perspiration,dripping perspiration,0,46,4.881.017
132,脉痹,脈痹,mài bì,中医内科学,vessel impediment,vessel bì,vessel impediment,a type of impediment disease mainly involving the vessels,46,4.891.017
133,脉癫疾,脈癲疾,mài diān jí,中医内科学,0,vascular epilepsy,vascular epilepsy,0,46,4.901.017
134,脉痿,脈痿,mài wěi,中医内科学,0,vessel wei,vessel flaccidity,0,46,4.911.017
135,冒湿,冒濕,mào shī,中医内科学,0,dampness affection,dampness affection,0,46,4.921.017
136,冒暑,冒暑,mào shǔ,中医内科学,summerheat affliction,summerheat affection,summerheat affection,common cold in summer,46,4.931.017
137,梦遗,夢遺,mèng yí,中医内科学,dream emission (disease),nocturnal emission,nocturnal emission,involuntary emission of semen during sleep associated with dreaming,46,4.941.017
138,内科病,內科病,nèi kē bìng,中医内科学,0,internal disease,0,0,46,4.951.017
139,内伤发热,內傷發熱,nèi shāng fā rè,中医内科学,0,fever due to internal damage,internal damage fever,0,46,4.961.017
140,溺白,溺白,nì bái,中医内科学,0,cloudy urine,cloudy urine,0,46,4.971.017
141,溺浊,溺濁,nì zhuó,中医内科学,0,turbid urine,turbid urine,0,46,4.981.017
142,疟,瘧,nüè,中医内科学,0,malaria,malaria,0,46,4.991.017
143,疟疾,瘧疾,nüè jí,中医内科学,0,malaria,malaria,0,46,5.001.017
144,疟母,瘧母,nüè mǔ,中医内科学,0,malaria with splenomegaly (a.k.a. mother-of-malaria),malaria with splenomegaly,0,46,5.011.017
145,女劳疸,女勞疸,nǚ láo dǎn,中医内科学,0,jaundice due to sexual intemperance/indulgence,jaundice due to sexual intemperance,0,46,5.021.017
146,膀胱咳,膀胱咳,páng guāng hāi,中医内科学,0,bladder cough,bladder cough,0,46,5.031.017
147,皮痹,皮痹,pí bì,中医内科学,skin impediment,skin bì,skin impediment,"a disease characterized by hardening and thickening of the skin, followed by atrophy at the late stage, referring to scleroderma",46,5.041.017
148,皮水,皮水,pí shuǐ,中医内科学,0,skin edema,skin edema,0,46,5.051.017
149,脾痹,脾痹,pí bì,中医内科学,0,spleen bì,spleen impediment,0,46,5.061.017
150,脾瘅病,脾癉病,pí dān bìng,中医内科学,0,"splenic pure heat (pí dān, 脾瘅)",0,0,46,5.071.017
151,脾咳,脾咳,pí hāi,中医内科学,0,spleen cough,spleen cough,0,46,5.081.017
152,脾心痛,脾心痛,pí xīn tòng,中医内科学,0,precordial pain due to spleen disorder,precordial pain due to spleen disorder,0,46,5.091.017
153,脾虚泄泻,脾虛泄瀉,pí xū xiè xiè,中医内科学,0,diarrhea due to spleen deficiency,diarrhea due to spleen deficiency,0,46,5.101.017
154,脾约,脾約,pí yuē,中医内科学,splenic constipation,splenic constipation,splenic constipation,infrequent passage of dry hardened feces as a consequence of dysfunction of the spleen,46,5.111.017
155,痞证,痞證,pǐ zhèng,中医内科学,0,"pi syndrome (pi zhèng, 痞证; localized sensation of blockage occuring in the chest or abdomen with or without palpable lumps, painless upon pressure)",fullness syndrome,0,46,5.121.017
156,偏头风,偏頭風,piān tóu fēng,中医内科学,hemilatera丨 head wind,hemilateral head wind (migraine),migraine,chronic recurrent headache occurring on one side or one part of the head,46,5.131.017
157,偏头痛,偏頭痛,piān tóu tòng,中医内科学,0,hemilateral headache (migraine),migraine,0,46,5.141.017
158,气厥,氣厥,qì jué,中医内科学,qi syncope,"① qi syncope ② qi reversal (synonymous with ""      ooooooooo",① qi syncope ② qi reversal,syncope induced by emotional upset with upward counterflow of qi,46,5.151.017
159,气淋,氣淋,qì lín,中医内科学,qi strangury,qi strangury,qi stranguria,"strangury due to bladder qi disorders, characterized by painful voiding of urine and lower abdominal distension and fullness",46,5.161.017
160,气秘,氣秘,qì mì,中医内科学,0,qi constipation,qi constipation,0,46,5.171.017
161,气痞,氣痞,qì pǐ,中医内科学,0,qi pi,qi fullness,0,46,5.181.017
162,气虚发热,氣虛發熱,qì xū fā rè,中医内科学,0,fever due to qi deficiency; qi-deficiency fever,qi-deficiency fever,0,46,5.191.017
163,气郁发热,氣鬱發熱,qì yù fā rè,中医内科学,0,fever due to qi constraint; qi-constraint fever,qi-depression fever,0,46,5.201.017
164,秋后晚发,秋後晚發,qiū hòu wǎn fā,中医内科学,0,late autumn malaria,late autumn malaria,0,46,5.211.017
165,秋时晚发,秋時晚發,qiū shí wǎn fā,中医内科学,0,summerheat occurring in the autumn,disease of latent summerheat in autumn,0,46,5.221.017
166,秋燥,秋燥,qiū zào,中医内科学,0,autumn dryness,autumn dryness,0,46,5.231.017
167,热痹,熱痹,rè bì,中医内科学,heat impediment,heat bì,heat arthralgia,"an impediment disease with an acute onset of joint pain accompanied by local redness, swelling and hotness",46,5.241.017
168,热霍乱,熱霍亂,rè huò luàn,中医内科学,0,heat cholera,heat cholera,0,46,5.251.017
169,热厥,熱厥,rè jué,中医内科学,0,heat syncope,heat reversal,0,46,5.261.017
170,热淋,熱淋,rè lín,中医内科学,heat strangury,heat strangury,heat stranguria,"strangury ascribed to dampness-heat, marked by urgency and frequency of painful urination with acute onset, and accompanied by chills and fever, lumbar pain and cramps, and distension in the lower abdomen",46,5.271.017
171,热秘,熱秘,rè mì,中医内科学,0,heat constipation,heat constipation,0,46,5.281.017
172,热痞,熱痞,rè pǐ,中医内科学,0,heat pi,heat fullness,0,46,5.291.017
173,热甚发痉,熱甚發痙,rè shén fā jìng,中医内科学,0,intense heat causing convulsion,intense heat causing convulsion,0,46,5.301.017
174,热哮,熱哮,rè xiāo,中医内科学,heat wheezing,heat wheezing,heat wheezing,"a type of asthma due to retention of heat-phlegm in the lung, marked by dyspnea, wheezing, thick and yellowish expectoration, flushed face, thirst, reddened tongue with yellow slimy coating and rapid slippery pulse",46,5.311.017
175,热瘴,熱瘴,rè zhàng,中医内科学,0,heat miasmic malaria,heat miasmic malaria,0,46,5.321.017
176,肉苛,肉苛,ròu kē,中医内科学,0,muscle numbness,muscle numbness,0,46,5.331.017
177,肉烁,肉爍,ròu shuò,中医内科学,0,muscle emaciation,muscle emaciation,0,46,5.341.017
178,肉痿,肉痿,ròu wěi,中医内科学,0,flesh wei,fleshy flaccidity,0,46,5.351.017
179,濡泄,濡泄,rú xiè,中医内科学,soggy diarrhea,soggy diarrhea,soggy diarrhea,diarrhea due to damage to the spleen by exuberant dampness,46,5.361.017
180,三焦咳,三焦咳,sān jiāo hāi,中医内科学,0,sanjiao cough,triple energizer cough,0,46,5.371.017
181,三日疟,三日瘧,sān rì nüè,中医内科学,0,quartan malaria,quartan malaria,0,46,5.381.017
182,砂淋,砂淋,shā lín,中医内科学,0,"sand stragury (i.e., urolithic strangury)",urolithic stranguria,0,46,5.391.017
183,砂石淋,砂石淋,shā shí lín,中医内科学,0,"sandy stone stragury (i.e., urolithic strangury)",urolithic stranguria,0,46,5.401.017
184,疝,疝,shàn,中医内科学,lower abdominal colic,shàn (疝),0,severe colicky pain in the lower abdomen usually accompanied by constipation and ischuria,46,5.411.017
185,疝气,疝氣,shàn qì,中医内科学,0,shàn qì (疝气),0,0,46,5.421.017
186,伤风,傷風,shāng fēng,中医内科学,0,wind damage (a TCM general term for common cold),common cold,0,46,5.431.017
187,伤湿,傷濕,shāng shī,中医内科学,dampness damage,dampness damage,dampness damage,a disease due to external contraction of dampness or obstruction of the stomach and intestines by dampness-turbidity,46,5.441.017
188,伤食泄泻,傷食泄瀉,shāng shí xiè xiè,中医内科学,0,diarrhea due to indigestion,indigestion diarrhea,0,46,5.451.017
189,伤暑,傷暑,shāng shǔ,中医内科学,summerheat damage,summerheat damage,summerheat damage,"a general term for various conditions caused by summerheat, especially for mild cases of heatstroke and sunstroke",46,5.461.017
190,上消,上消,shàng xiāo,中医内科学,upper wasting-thirst,xiāo kě of the upper jiao,upper consumptive thirst,a wasting-thirst case characterized by polydipsia with excessive drinking,46,5.471.017
191,舌衄,舌衄,shé nǜ,中医内科学,spontaneous bleeding of the tongue,spontaneous bleeding of the tongue,tongue bleeding,bleeding from the tongue not due to traumatic injury,46,5.481.017
192,肾痹,腎痹,shèn bì,中医内科学,0,kidney bì,kidney impediment,0,46,5.491.017
193,肾风,腎風,shèn fēng,中医内科学,0,kidney-wind edema,kidney-wind edema,0,46,5.501.017
